Feature,Instance,LocX,LocY,Checkin
A,93,1083181.26,987542.12,1423
A,94,933855.06,872822.31,2503
A,94,933855.06,872822.31,2503
A,95,915075.96,912916.95,1026
A,95,915075.96,912916.95,1026
A,96,1126430.76,1028494.67,3916
A,96,1126430.76,1028494.67,3916
A,97,908112.74,844714.43,1142
A,97,908112.74,844714.43,1142
A,98,782267.93,330372.71,4111
A,98,782267.93,330372.71,4111
A,99,936180.59,612077.23,252
A,99,936180.59,612077.23,252
A,100,652762.21,1041536.38,2214
A,100,652762.21,1041536.38,2214
A,101,908909.08,623915.37,27
A,101,908909.08,623915.37,27
A,102,605559.96,1093168.65,806
A,102,605559.96,1093168.65,806
A,103,1087582.83,977322.12,1252
A,103,1087582.83,977322.12,1252
A,104,1090508.68,985561.59,1169
A,104,1090508.68,985561.59,1169
A,105,1102227.66,1020025.01,3396
A,105,1102227.66,1020025.01,3396
A,106,1093235.16,979461.39,1103
A,106,1093235.16,979461.39,1103
A,107,1059096.21,944457.46,2660
A,107,1059096.21,944457.46,2660
A,108,859267.7,1000693.59,1422
A,108,859267.7,1000693.59,1422
A,109,800775.28,723357.48,2879
A,109,800775.28,723357.48,2879
A,110,1188992.86,889814.72,201
A,110,1188992.86,889814.72,201
A,111,1210331.38,848867.05,2636
A,111,1210331.38,848867.05,2636
A,112,1031585.23,797534.35,42
A,112,1031585.23,797534.35,42
A,113,1029511.41,736725.75,3721
A,113,1029511.41,736725.75,3721
A,114,1011667.87,904360.4,5150
A,114,1011667.87,904360.4,5150
A,115,792084.61,750388.93,326
A,115,792084.61,750388.93,326
A,116,842219.38,751905.51,3182
A,116,842219.38,751905.51,3182
A,117,909529.44,748007.4,7822
A,117,909529.44,748007.4,7822
A,118,1009400.26,1006415.28,370
A,118,1009400.26,1006415.28,370
A,119,965128.31,1061002.75,3983
A,119,965128.31,1061002.75,3983
A,120,870890.89,862914.68,4640
A,120,870890.89,862914.68,4640
A,121,1120130.23,954048.71,4588
A,121,1120130.23,954048.71,4588
A,122,1099413.19,1041266.35,576
A,122,1099413.19,1041266.35,576
A,123,1110649.91,1053758.91,177
A,123,1110649.91,1053758.91,177
A,124,951945.86,787951.19,2739
A,124,951945.86,787951.19,2739
A,125,1150383.28,853911.06,485
A,125,1150383.28,853911.06,485
A,126,1113008.85,1047139.8,117
A,126,1113008.85,1047139.8,117
A,127,938775.65,877710.16,2327
A,127,938775.65,877710.16,2327
A,128,1094977.08,977235.12,1014
A,128,1094977.08,977235.12,1014
A,129,804282.51,749132.19,320
